m,wVec,wAx
1.56,0.5959160934,0.4040839066
1.565,0.5959464099,0.4040535901
1.57,0.595959044,0.404040956
1.575,0.5959570588,0.4040429412
1.58,0.5959429256,0.4040570744
1.585,0.5944253689,0.4055746311
1.59,0.5923117117,0.4076882883
1.595,0.5900016645,0.4099983355
1.6,0.5874671068,0.4125328932
1.605,0.5846741577,0.4153258423
1.61,0.5815816746,0.4184183254
1.615,0.5781392573,0.4218607427
1.62,0.5742845536,0.4257154464
1.625,0.5699395686,0.4300604314
1.63,0.5650055193,0.4349944807
1.635,0.5593555278,0.4406444722
1.64,0.5528240277,0.4471759723
1.645,0.5463425828,0.4536574172
1.65,0.5410205067,0.4589794933
