m,wrho,womega,wa1,wphi,wf1s
2.58,0.1605010979,0.01267526951,0.5553406795,0.1047696663,0.1667132868
2.6,0.1601845616,0.01265814248,0.5542454503,0.1049758003,0.1679360453
2.62,0.1598756256,0.01264140767,0.5531765187,0.1051764274,0.1691300205
2.64,0.1595740511,0.01262505361,0.5521330581,0.1053717464,0.1702960908
2.66,0.1592796083,0.01260906919,0.5511142732,0.1055619467,0.1714351026
2.68,0.1589920759,0.0125934437,0.5501193987,0.1057472095,0.1725478722
2.7,0.1587112411,0.01257816679,0.5491476982,0.1059277077,0.1736351863
2.72,0.1584368989,0.01256322843,0.5481984625,0.1061036067,0.1746978034
2.74,0.158168852,0.01254861896,0.5472710089,0.1062750649,0.1757364552
2.76,0.1579069105,0.01253432904,0.5463646799,0.1064422334,0.1767518471
2.78,0.1576508911,0.01252034962,0.545478842,0.1066052573,0.1777446599
2.8,0.1574006177,0.01250667198,0.5446128851,0.1067642752,0.17871555
2.82,0.1571559201,0.01249328766,0.543766221,0.1069194201,0.1796651512
2.84,0.1569166346,0.01248018852,0.5429382829,0.1070708192,0.1805940748
2.86,0.1566826032,0.01246736666,0.5421285242,0.1072185948,0.1815029112
2.88,0.1564536736,0.01245481444,0.5413364181,0.1073628637,0.1823922301
2.9,0.156229699,0.0124425245,0.5405614563,0.1075037385,0.1832625818
2.92,0.1560105376,0.01243048969,0.5398031484,0.1076413268,0.1841144976
2.94,0.1557960526,0.0124187031,0.5390610213,0.1077757322,0.1849484907
2.96,0.1555861122,0.01240715807,0.5383346184,0.1079070541,0.1857650572
2.98,0.1553805889,0.01239584812,0.537623499,0.1080353879,0.1865646761
3.0,0.1551793597,0.012384767,0.5369272374,0.1081608255,0.1873478104
