m,pi-_pi0,pi-_2pi0,2pi-_pi+,2pi-_pi+_pi0,pi-_3pi0,eta_pi-_pi0,K_K,K_K_pi,5pi,other
0.935,0,0.4722180013,0.5098074281,0.01746447371,0,0,0,0,0.000510096907,0
0.94,0,0.4749442552,0.5081422053,0.01639154099,0,0,0,0,0.0005219984918,0
0.945,0,0.4800330919,0.4989190997,0.02050182361,0,0,0,0,0.0005459847996,0
0.95,0,0.4866273239,0.4849725341,0.02782138577,0,0,0,0,0.0005787562825,0
0.955,0,0.4928145114,0.4718816137,0.03469090348,0,0,0,0,0.0006129714285,0
0.96,0,0.4907586179,0.475431084,0.03316353011,0,0,0,0,0.0006467679929,0
0.965,0,0.4884337426,0.4795549104,0.0313294673,0,0,0,0,0.0006818796439,0
0.97,0,0.48541822,0.4842345811,0.02962568693,0,0,0,0,0.0007215119861,0
0.975,0,0.4810173627,0.4901846008,0.02802932615,0,0,0,0,0.0007687103376,0
0.98,0,0.4767741359,0.495917156,0.02649070211,0,0,0,0,0.0008180060033,0
0.985,0,0.466421125,0.5035145724,0.0292151894,0,0,0,0,0.0008491132176,0
0.99,0,0.4553454052,0.5109980906,0.03278027353,0,0,0,0,0.0008762305902,0
0.995,0,0.4487785848,0.5149410728,0.03536937272,0,0,0,0,0.000910969688,0
1.0,0,0.4528988268,0.5102572213,0.03587817459,0,0,0,0,0.0009657773123,0
1.005,0,0.4568851337,0.5057215382,0.036370517,0,0,0,0,0.001022811093,0
1.01,0,0.4644594465,0.4971611379,0.03728034181,0,0,0,0,0.001099073734,0
1.015,0,0.4733025113,0.4871735917,0.03833826566,0,0,0,0,0.001185631388,0
1.02,0,0.4775063765,0.4812908488,0.03993115983,0,0,0,0,0.001271614852,0
1.025,0,0.4699780276,0.4858699759,0.04280536186,0,0,0,0,0.001346634639,0
1.03,0,0.4626172971,0.4903435179,0.04561452433,0,0,0,0,0.001424660644,0
1.035,0,0.4600267332,0.4961956753,0.04230544273,0,0,0,0,0.001472148823,0
1.04,0,0.4584086961,0.5019036187,0.03817241343,0,0,0,0,0.001515271761,0
1.045,0,0.4577903719,0.5016838622,0.03895650317,0,0,0,0,0.001569262739,0
1.05,0,0.4583450645,0.4943572295,0.0456605357,0,0,0,0,0.001637170267,0
1.055,0,0.4586753852,0.4874571126,0.05215955603,0,0,0,0,0.001707946216,0
1.06,0,0.4552256912,0.4831747035,0.05980215635,0,0,0,0,0.001797448915,0
1.065,0,0.4518458733,0.4789794502,0.06728457296,0,0,0,0,0.001890103614,0
1.07,0,0.4517186846,0.4801695128,0.0660724687,0,0,0,0,0.002039333901,0
1.075,0,0.4530759099,0.4838956365,0.0608024873,0,0,0,0,0.002225966234,0
1.08,0,0.4580881586,0.4822702202,0.05725709543,0,0,0,0,0.002384525855,0
1.085,0,0.469109325,0.4712099327,0.0572101162,0,0,0,0,0.002470626037,0
1.09,0,0.4782502478,0.4619348059,0.05725135282,0,0,0,0,0.002563593484,0
1.095,0,0.4628001204,0.4756595349,0.05879774932,0,0,0,0,0.002742595398,0
1.1,0,0.4469809417,0.4897064223,0.06038041083,0,0,0,0,0.002932225176,0
1.105,0,0.4432469678,0.4853997074,0.06825802661,0,0,0,0,0.003095298259,0
1.11,0,0.4423167883,0.4748268032,0.07777052164,0,0,0,0,0.003247531432,0.001838355387
1.115,0,0.4400656863,0.4732609415,0.08054690793,0,0,0,0,0.003415781992,0.002710682306
1.12,0,0.4369067737,0.4805191475,0.07708904558,0,0,0,0,0.003603990302,0.001881042948
1.125,0,0.4362827423,0.4826969236,0.07586203788,0,0,0,0,0.003790810195,0.001367486075
1.13,0,0.4422049531,0.4717323417,0.08040840145,0,0,0,0,0.003959833083,0.001694470622
1.135,0,0.4474709762,0.4613193576,0.08492955228,0,0,0,0,0.004145813729,0.00213430018
1.14,0,0.4441716789,0.4565057759,0.09022067256,0,0,0,0,0.004527555716,0.004574316885
1.145,0,0.4406088105,0.4513053676,0.09594405438,0,0,0,0,0.004949011142,0.00719275639
1.15,0,0.4496127186,0.4431091806,0.09510546657,0,0,0,0,0.005196025583,0.006976608585
1.155,0,0.460386858,0.4346026278,0.09327857992,0,0,0,0,0.005419716439,0.006312217781
1.16,0,0.4629140259,0.4304462487,0.09467131638,0,0,0,0,0.005749267193,0.006219141881
1.165,0,0.4619007162,0.428058955,0.09753604372,0,0,0,0,0.006143260487,0.006361024586
1.17,0,0.4556839204,0.4306464557,0.09979566697,0,0,0,0,0.006466175267,0.007407781635
1.175,0,0.4453104866,0.4373266877,0.101468768,0,0,0,0,0.006720115542,0.009173942113
1.18,0,0.4375679308,0.4428101679,0.1024738765,0,0,0,0,0.007000531405,0.01014749341
1.185,0,0.4333592894,0.4467128045,0.1025656637,0,0,0,0,0.007318104956,0.01004413739
1.19,0,0.4294876626,0.4495434408,0.1033469515,0,0,0,0,0.007684227137,0.009937717967
1.195,0,0.4263123629,0.4499076078,0.1057650099,0,0,0,0,0.008158636436,0.009856382953
1.2,0,0.4230611979,0.4462516339,0.111382076,0,0,0,0,0.008647059692,0.01065803257
1.205,0,0.4198235792,0.4270515185,0.1290662271,0,0,0,0,0.009107916057,0.01495075915
1.21,0,0.4160691866,0.4101088046,0.1452167149,0,0,0,0,0.00960820811,0.01899708575
