m,pi-_pi0,pi-_2pi0,2pi-_pi+,2pi-_pi+_pi0,pi-_3pi0,eta_pi-_pi0,K_K,K_K_pi,5pi,other
1.045,0.184726098,0.3719183389,0.4075783156,0.03164906655,0.001400992168,0.001114029801,0.0003382575447,0,0.001274901412,0
1.05,0.1774952343,0.3756845559,0.405202086,0.0374258597,0.00132446967,0.0011448108,0.0003810697652,0,0.001341913838,0
1.055,0.1705406756,0.3791433348,0.4029344525,0.04311534617,0.00125328755,0.001176165894,0.0004249407545,0,0.001411796762,0
1.06,0.1656391999,0.3784847164,0.4017221439,0.04972083654,0.001249654683,0.001216093476,0.0004729163365,0,0.001494438816,0
1.065,0.1607834534,0.3778297641,0.4005186356,0.05626280073,0.001246047867,0.001256561676,0.0005222477428,0,0.001580488934,0
1.07,0.1561836061,0.379742561,0.4036600802,0.05554458854,0.001234625969,0.001332054392,0.0005880939974,0,0.00171438974,0
1.075,0.1514198122,0.3829694453,0.4090202976,0.05139424614,0.00121885015,0.001429109666,0.0006667064638,0,0.00188153251,0
1.08,0.146023351,0.3890970201,0.4096371016,0.04863379416,0.002340883119,0.001504291106,0.0007381585213,0,0.002025400324,0
1.085,0.1401492411,0.3997464427,0.4015364528,0.04875098237,0.005395885051,0.001529450502,0.0007862281971,0,0.002105317283,0
1.09,0.1346592447,0.4087959037,0.3948498873,0.04893697102,0.008173317827,0.001557572999,0.0008358092746,0,0.002191293198,0
1.095,0.1321681877,0.3967302754,0.4077538659,0.05040371912,0.008044008102,0.001635603092,0.0009132811429,0,0.002351059517,0
1.1,0.1296020598,0.3843031087,0.4210374155,0.05191357712,0.007910791395,0.001717125431,0.0009948676814,0,0.002521054357,0
1.105,0.1254485842,0.3829002511,0.4193140244,0.05896490542,0.007845145244,0.001783648678,0.001069558017,0,0.002673882885,0
1.11,0.1206367403,0.3841923487,0.4124302526,0.06755076939,0.007787453567,0.001843429421,0.001141450946,0,0.002820776333,0.001596778808
1.115,0.1178533239,0.3833833247,0.4123028877,0.07017211821,0.007829005465,0.001905901152,0.001216089632,0,0.002975814515,0.002361534714
1.12,0.117066773,0.3808498667,0.4188665965,0.0671982091,0.007970207694,0.001972546266,0.001294519362,0,0.003141583764,0.001639697526
1.125,0.1160334991,0.3806682886,0.4211658955,0.06619164439,0.00803086581,0.002036676795,0.001372379189,0,0.003307582652,0.001193167947
1.13,0.1143776152,0.3865776163,0.412390596,0.07029339663,0.007882084495,0.002091145559,0.001444527359,0,0.003461704405,0.001481314058
1.135,0.1128630647,0.3918647299,0.4039922031,0.0743755413,0.007728445573,0.002152331957,0.00152200522,1.980419077e-06,0.003630622462,0.001869075332
1.14,0.1131802664,0.3888122162,0.3996090495,0.07897599354,0.007470815717,0.002306570201,0.001667499082,1.013122593e-05,0.00396326253,0.004004195607
1.145,0.113523014,0.3855138673,0.3948728973,0.08394694469,0.007192437557,0.002474897098,0.001826922568,2.549220129e-05,0.004330173113,0.006293354254
1.15,0.1092575081,0.3949669142,0.3892538144,0.08354637469,0.007742234306,0.002562926347,0.00192963824,4.741405658e-05,0.004564502083,0.006128673524
1.155,0.1043188378,0.4063034088,0.3835481532,0.08232077942,0.008414923296,0.002639311471,0.002024680482,7.616761481e-05,0.0047830411,0.00557069681
1.16,0.1038924812,0.4084560616,0.3798078469,0.08353402765,0.008734777487,0.002751952053,0.002148894588,0.0001135326754,0.005072913983,0.005487511843
1.165,0.1054475603,0.4066146361,0.376823482,0.08586170476,0.008908326874,0.002885136462,0.002291190503,0.0001603479594,0.0054079579,0.005599657256
1.17,0.1005923224,0.4032919884,0.3811331882,0.0883217317,0.008739182198,0.003003576083,0.002423780965,0.0002154214327,0.005722731401,0.006556077252
1.175,0.09033782847,0.398752671,0.391603589,0.09086007063,0.008280123889,0.003108185433,0.002546745234,0.0002784739927,0.006017518343,0.008214794016
