m,2Pich,3Pi,4Pi,5Pi,other
2.62,0.0006911831684,0.1520927926,0.0788129184,0.1371124029,0.6312907029
2.64,0.0006833366411,0.1503865627,0.07791820953,0.1355558601,0.635456031
2.66,0.0006756375094,0.1487123841,0.07704030759,0.1340285566,0.6395431142
2.68,0.0006680819245,0.1470694199,0.07617877375,0.132529729,0.6435539955
2.7,0.0006606661662,0.145456861,0.07533318377,0.1310586393,0.6474906498
2.72,0.000653386637,0.1438739252,0.07450312747,0.1296145738,0.6513549868
2.74,0.0006462398578,0.1423198561,0.07368820815,0.1281968425,0.6551488534
2.76,0.0006392224631,0.1407939217,0.07288804202,0.1268047775,0.6588740363
2.78,0.0006323311961,0.1392954139,0.07210225775,0.125437733,0.6625322642
2.8,0.0006255629046,0.1378236471,0.0713304959,0.1240950835,0.6661252105
2.82,0.0006189145374,0.136377958,0.07057240853,0.1227762239,0.6696544951
2.84,0.0006123831395,0.134957704,0.06982765873,0.1214805678,0.6731216864
2.86,0.0006059658492,0.1335622627,0.06909592017,0.1202075477,0.6765283036
2.88,0.0005996598942,0.1321910313,0.06837687674,0.1189566135,0.6798758186
2.9,0.000593462588,0.1308434257,0.06767022211,0.1177272324,0.6831656572
2.92,0.0005873713272,0.1295188798,0.06697565942,0.1165188878,0.6863992016
2.94,0.0005813835879,0.1282168446,0.06629290088,0.1153310792,0.6895777917
2.96,0.0005754969229,0.1269367882,0.06562166746,0.1141633211,0.6927027264
2.98,0.0005697089591,0.1256781943,0.06496168853,0.1130151426,0.6957752656
3.0,0.0005640173943,0.1244405625,0.06431270161,0.1118860871,0.6987966313
