m,pi-_pi0,pi-_3pi0,K_K,K_K_pi,eta_pi-_pi0
1.525,0.006894478276,0.08821484713,0.01307577904,0.06931008861,0.01040952655
1.53,0.00691050098,0.08858310846,0.01363084285,0.07487101953,0.01078181349
1.535,0.006810938794,0.08817818742,0.01367055002,0.07772991864,0.01074047707
1.54,0.006556732237,0.08669227417,0.01293998755,0.07607692235,0.01009467342
1.545,0.006323765076,0.08533051153,0.01226382711,0.07446047262,0.009496132344
1.55,0.006109485414,0.08407798291,0.01163660272,0.07286696339,0.00894004093
1.555,0.005911734404,0.0829220692,0.01105368047,0.071285732,0.008422313183
1.56,0.005728673378,0.08185202283,0.01051109427,0.06970865754,0.007939447746
1.565,0.005558726617,0.08085863325,0.01000541767,0.06812982497,0.007488417133
1.57,0.005400535963,0.07993396163,0.009533663117,0.06654523501,0.007066580894
1.575,0.005252924529,0.07907112871,0.009093202154,0.06495254594,0.00667161712
1.58,0.005114867429,0.07826414373,0.008681701841,0.06335083816,0.006301468106
1.585,0.005030509007,0.07861895413,0.00878952923,0.06540486874,0.00630770195
1.59,0.004954712044,0.07936267675,0.009067931236,0.06868552743,0.006430092872
1.595,0.004871669196,0.08017749627,0.009375462432,0.07215538409,0.006564921707
1.6,0.004780290709,0.08107410538,0.009717068791,0.07584585967,0.006714519618
1.605,0.004679256761,0.08206545424,0.01009866009,0.07979612113,0.006881661675
1.61,0.004566953363,0.08316737937,0.01052737366,0.08405510355,0.007069691826
1.615,0.004441385564,0.08439945528,0.01101193154,0.08868423382,0.007282692616
1.62,0.004300058007,0.08578616654,0.01156313174,0.09376117057,0.007525719198
1.625,0.004139807522,0.08735855026,0.0121945367,0.09938504274,0.007805127616
1.63,0.003956563718,0.08915654528,0.01292345772,0.1056839455,0.008129044584
1.635,0.003744998603,0.09123243007,0.0137723958,0.1128259199,0.008508055154
1.64,0.003498000243,0.09365598718,0.01477120661,0.1210354629,0.008956235846
1.645,0.003300607499,0.09608305566,0.01573958578,0.1288115457,0.00936138936
1.65,0.00324687891,0.0980489866,0.01644951537,0.1342741006,0.009592060142
